Created Output Log File: /workdir/tasks_run/data/msit_data/p004_msit_data_20240916_16h39m44s.csv
====== whole_session_data ======
most_recent_dicom_dir,/workdir/tasks_run/data/sambashare/test_dir
pid,p004
block_type,444
experimenter_screen_width,3390
experimenter_screen_height,1044
second_monitor_width,1920
second_monitor_height,1080
monitor_X_OFFSET,1920
monitor_Y_OFFSET,0
====== trial1 ======
start_time,2024-09-16 16:39:28.039738
block_type,444
number_series,"[2, 2, 3]"
reaction_time,0:00:00.613963
response,1
different_number,3
correct,False
end_time,2024-09-16 16:39:29.162750
====== trial2 ======
start_time,2024-09-16 16:39:29.175559
block_type,444
number_series,"[2, 3, 2]"
reaction_time,0:00:01.341848
response,3
different_number,3
correct,True
end_time,2024-09-16 16:39:31.029401
====== trial3 ======
start_time,2024-09-16 16:39:31.035716
block_type,444
number_series,"[1, 3, 3]"
reaction_time,0:00:00.636515
response,1
different_number,1
correct,True
end_time,2024-09-16 16:39:32.183812
====== trial4 ======
start_time,2024-09-16 16:39:32.190959
block_type,444
number_series,"[1, 3, 3]"
response,
different_number,1
correct,False
end_time,2024-09-16 16:39:35.212363
====== trial5 ======
start_time,2024-09-16 16:39:35.213785
block_type,444
number_series,"[1, 3, 3]"
reaction_time,0:00:00.659036
response,1
different_number,1
correct,True
end_time,2024-09-16 16:39:36.387204
====== trial6 ======
start_time,2024-09-16 16:39:36.399225
block_type,444
number_series,"[1, 3, 3]"
reaction_time,0:00:01.514411
response,1
different_number,1
correct,True
end_time,2024-09-16 16:39:38.424381
====== trial7 ======
start_time,2024-09-16 16:39:38.431002
block_type,444
number_series,"[1, 3, 3]"
reaction_time,0:00:00.890055
response,1
different_number,1
correct,True
end_time,2024-09-16 16:39:39.830584
====== trial8 ======
start_time,2024-09-16 16:39:39.837113
block_type,444
number_series,"[2, 3, 2]"
reaction_time,0:00:01.716976
response,3
different_number,3
correct,True
end_time,2024-09-16 16:39:42.068208
====== trial9 ======
start_time,2024-09-16 16:39:42.074702
block_type,444
number_series,"[2, 2, 1]"
reaction_time,0:00:00.657495
response,1
different_number,1
correct,True
end_time,2024-09-16 16:39:43.247263
====== trial10 ======
start_time,2024-09-16 16:39:43.253780
block_type,444
number_series,"[2, 2, 3]"
reaction_time,0:00:00.764479
response,3
different_number,3
correct,True
end_time,2024-09-16 16:39:44.532595
