Created Output Log File: /workdir/tasks_run/data/msit_data/p004_msit_data_20240916_09h29m13s.csv
====== whole_session_data ======
pid,p004
experimenter_screen_width,3390
experimenter_screen_height,1044
second_monitor_width,1920
second_monitor_height,1080
monitor_X_OFFSET,1920
monitor_Y_OFFSET,0
====== trial1 ======
start_time,2024-09-16 09:29:04.608140
number_series,"[1, 1, 0]"
reaction_time,0:00:01.936401
response,0
different_number,0
correct,True
end_time,2024-09-16 09:29:06.549871
====== trial2 ======
start_time,2024-09-16 09:29:06.550816
number_series,"[0, 0, 1]"
reaction_time,0:00:01.112333
response,1
different_number,1
correct,True
end_time,2024-09-16 09:29:07.667933
====== trial3 ======
start_time,2024-09-16 09:29:07.668783
number_series,"[0, 2, 0]"
reaction_time,0:00:00.688680
response,2
different_number,2
correct,True
end_time,2024-09-16 09:29:08.361144
====== trial4 ======
start_time,2024-09-16 09:29:08.362070
number_series,"[2, 0, 0]"
reaction_time,0:00:00.839308
response,2
different_number,2
correct,True
end_time,2024-09-16 09:29:09.206082
====== trial5 ======
start_time,2024-09-16 09:29:09.207030
number_series,"[0, 2, 0]"
reaction_time,0:00:00.604477
response,2
different_number,2
correct,True
end_time,2024-09-16 09:29:09.814907
====== trial6 ======
start_time,2024-09-16 09:29:09.815841
number_series,"[0, 0, 1]"
reaction_time,0:00:00.519160
response,1
different_number,1
correct,True
end_time,2024-09-16 09:29:10.339058
====== trial7 ======
start_time,2024-09-16 09:29:10.339805
number_series,"[0, 2, 2]"
reaction_time,0:00:00.676266
response,0
different_number,0
correct,True
end_time,2024-09-16 09:29:11.018919
====== trial8 ======
start_time,2024-09-16 09:29:11.019620
number_series,"[1, 1, 2]"
reaction_time,0:00:00.640661
response,1
different_number,2
correct,False
end_time,2024-09-16 09:29:11.664357
====== trial9 ======
start_time,2024-09-16 09:29:11.665116
number_series,"[1, 0, 0]"
reaction_time,0:00:00.621947
response,1
different_number,1
correct,True
end_time,2024-09-16 09:29:12.290197
====== trial10 ======
start_time,2024-09-16 09:29:12.290960
number_series,"[1, 1, 2]"
reaction_time,0:00:00.736687
response,2
different_number,2
correct,True
end_time,2024-09-16 09:29:13.031786
