Created Output Log File: /workdir/tasks_run/data/msit_data/p004_msit_data_20240913_17h33m14s.csv
====== whole_session_data ======
pid,p004
experimenter_screen_width,3390
experimenter_screen_height,1080
second_monitor_width,1920
second_monitor_height,1080
monitor_X_OFFSET,1920
monitor_Y_OFFSET,0
====== trial1 ======
start_time,2024-09-13 17:32:59.057320
number_series,"[1, 1, 0]"
reaction_time,0:00:01.317857
response,0
different_number,0
correct,True
end_time,2024-09-13 17:33:00.887927
====== trial2 ======
start_time,2024-09-13 17:33:00.895054
number_series,"[0, 0, 1]"
reaction_time,0:00:01.358418
response,2
different_number,1
correct,False
end_time,2024-09-13 17:33:02.766048
====== trial3 ======
start_time,2024-09-13 17:33:02.773371
number_series,"[0, 2, 0]"
reaction_time,0:00:00.016499
response,1
different_number,2
correct,False
end_time,2024-09-13 17:33:03.309824
====== trial4 ======
start_time,2024-09-13 17:33:03.320875
number_series,"[2, 0, 0]"
reaction_time,0:00:00.053743
response,2
different_number,2
correct,True
end_time,2024-09-13 17:33:03.886834
====== trial5 ======
start_time,2024-09-13 17:33:03.893188
number_series,"[0, 2, 0]"
reaction_time,0:00:00.650058
response,2
different_number,2
correct,True
end_time,2024-09-13 17:33:05.054564
====== trial6 ======
start_time,2024-09-13 17:33:05.060760
number_series,"[0, 0, 1]"
reaction_time,0:00:00.580833
response,1
different_number,1
correct,True
end_time,2024-09-13 17:33:06.153031
====== trial7 ======
start_time,2024-09-13 17:33:06.158741
number_series,"[0, 2, 2]"
reaction_time,0:00:00.695550
response,0
different_number,0
correct,True
end_time,2024-09-13 17:33:07.370118
====== trial8 ======
start_time,2024-09-13 17:33:07.373296
number_series,"[1, 1, 2]"
reaction_time,0:00:00.577827
response,1
different_number,2
correct,False
end_time,2024-09-13 17:33:08.467130
====== trial9 ======
start_time,2024-09-13 17:33:08.473319
number_series,"[1, 0, 0]"
reaction_time,0:00:00.015328
response,2
different_number,1
correct,False
end_time,2024-09-13 17:33:09.005756
====== trial10 ======
start_time,2024-09-13 17:33:09.018013
number_series,"[1, 1, 2]"
reaction_time,0:00:00.161254
response,1
different_number,2
correct,False
end_time,2024-09-13 17:33:09.689449
