Created Output Log File: /workdir/tasks_run/data/msit_data/p004_msit_data_20240916_09h29m39s.csv
====== whole_session_data ======
pid,p004
experimenter_screen_width,3390
experimenter_screen_height,1044
second_monitor_width,1920
second_monitor_height,1080
monitor_X_OFFSET,1920
monitor_Y_OFFSET,0
====== trial1 ======
start_time,2024-09-16 09:29:27.641632
number_series,"[1, 1, 0]"
reaction_time,0:00:01.026183
response,0
different_number,0
correct,True
end_time,2024-09-16 09:29:29.183119
====== trial2 ======
start_time,2024-09-16 09:29:29.189578
number_series,"[0, 0, 1]"
reaction_time,0:00:00.872783
response,1
different_number,1
correct,True
end_time,2024-09-16 09:29:30.572989
====== trial3 ======
start_time,2024-09-16 09:29:30.579562
number_series,"[0, 2, 0]"
reaction_time,0:00:00.512885
response,2
different_number,2
correct,True
end_time,2024-09-16 09:29:31.603957
====== trial4 ======
start_time,2024-09-16 09:29:31.610078
number_series,"[2, 0, 0]"
reaction_time,0:00:00.653714
response,0
different_number,2
correct,False
end_time,2024-09-16 09:29:32.774593
====== trial5 ======
start_time,2024-09-16 09:29:32.781141
number_series,"[0, 2, 0]"
reaction_time,0:00:00.701417
response,2
different_number,2
correct,True
end_time,2024-09-16 09:29:33.995893
====== trial6 ======
start_time,2024-09-16 09:29:34.001516
number_series,"[0, 0, 1]"
reaction_time,0:00:00.501057
response,1
different_number,1
correct,True
end_time,2024-09-16 09:29:35.015351
====== trial7 ======
start_time,2024-09-16 09:29:35.022202
number_series,"[0, 2, 2]"
reaction_time,0:00:00.668582
response,0
different_number,0
correct,True
end_time,2024-09-16 09:29:36.202759
====== trial8 ======
start_time,2024-09-16 09:29:36.209044
number_series,"[1, 1, 2]"
reaction_time,0:00:01.062625
response,1
different_number,2
correct,False
end_time,2024-09-16 09:29:37.787770
====== trial9 ======
start_time,2024-09-16 09:29:37.793894
number_series,"[1, 0, 0]"
reaction_time,0:00:00.999599
response,2
different_number,1
correct,False
end_time,2024-09-16 09:29:39.309249
====== trial10 ======
start_time,2024-09-16 09:29:39.315677
number_series,"[1, 1, 2]"
reaction_time,0:00:00.036535
response,0
different_number,2
correct,False
end_time,2024-09-16 09:29:39.875620
