Created Output Log File: /workdir/tasks_run/data/logs/data_dictionary_20240910_20h47m28s.csv
====== whole_session_data ======,====== whole_session_data ======
trial_start_time,2024-09-10 20:47:05.381447
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/48426103359083309810.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR11.nii
mean_activation,415.4526
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:06.474348
total_trial_time,0:00:01.092906
====== trial12 ======,====== trial12 ======
trial_start_time,2024-09-10 20:47:06.477007
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/60140296924012436144.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR12.nii
mean_activation,414.67352
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:07.577757
total_trial_time,0:00:01.100756
====== trial13 ======,====== trial13 ======
trial_start_time,2024-09-10 20:47:07.580515
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/67605430617337450409.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR13.nii
mean_activation,414.81094
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:08.578612
total_trial_time,0:00:00.998103
====== trial14 ======,====== trial14 ======
trial_start_time,2024-09-10 20:47:08.581419
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/59687752477647749717.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR14.nii
mean_activation,415.5494
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:09.669866
total_trial_time,0:00:01.088451
====== trial15 ======,====== trial15 ======
trial_start_time,2024-09-10 20:47:09.672621
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/90472607422161712260.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR15.nii
mean_activation,414.02057
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:10.761670
total_trial_time,0:00:01.089053
====== trial16 ======,====== trial16 ======
trial_start_time,2024-09-10 20:47:10.764495
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/90250033857699016390.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR16.nii
mean_activation,414.9476
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:11.750928
total_trial_time,0:00:00.986437
====== trial17 ======,====== trial17 ======
trial_start_time,2024-09-10 20:47:11.753749
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/21788658240783716353.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR17.nii
mean_activation,415.62363
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:12.855925
total_trial_time,0:00:01.102180
====== trial18 ======,====== trial18 ======
trial_start_time,2024-09-10 20:47:12.858554
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/33142980499604323079.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR18.nii
mean_activation,415.33325
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:13.956972
total_trial_time,0:00:01.098423
====== trial19 ======,====== trial19 ======
trial_start_time,2024-09-10 20:47:13.959776
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/8100541206956090376.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR19.nii
mean_activation,415.61484
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:14.942794
total_trial_time,0:00:00.983023
====== trial20 ======,====== trial20 ======
trial_start_time,2024-09-10 20:47:14.945591
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/52902353821506289549.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR20.nii
mean_activation,414.88843
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:16.034559
total_trial_time,0:00:01.088973
====== trial21 ======,====== trial21 ======
trial_start_time,2024-09-10 20:47:16.037476
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/21713772014953257040.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR21.nii
mean_activation,414.70486
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:17.146093
total_trial_time,0:00:01.108622
====== trial22 ======,====== trial22 ======
trial_start_time,2024-09-10 20:47:17.148924
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/83060243814011484775.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR22.nii
mean_activation,414.89243
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:18.133375
total_trial_time,0:00:00.984456
====== trial23 ======,====== trial23 ======
trial_start_time,2024-09-10 20:47:18.136191
dicom_path,/workdir/tasks_run/data/sambashare/test_dir/85158935971525668987.dcm
nifti_path,/workdir/tasks_run/data/nifti_tmpdir/nii_TR23.nii
mean_activation,414.59753
successful_trial_end,True
ending_trial_time,2024-09-10 20:47:19.229459
total_trial_time,0:00:01.093272
====== trial24 ======,====== trial24 ======
